Id,Category
0,1
1,10
2,10
3,9
4,6
5,1
6,9
7,10
8,8
9,1
10,9
11,8
12,9
13,10
14,9
15,9
16,9
17,1
18,8
19,9
20,1
21,1
22,9
23,9
24,9
25,1
26,10
27,10
28,1
29,1
30,1
31,9
32,8
33,1
34,1
35,9
36,1
37,1
38,10
39,1
40,7
41,8
42,1
43,1
44,1
45,1
46,10
47,1
48,8
49,9
50,10
51,1
52,1
53,1
54,9
55,8
56,7
57,9
58,9
59,9
60,5
61,9
62,8
63,1
64,10
65,8
66,1
67,9
68,1
69,10
70,5
71,5
72,6
73,9
74,8
75,6
76,1
77,1
78,9
79,9
80,1
81,1
82,5
83,8
84,8
85,8
86,8
87,1
88,9
89,10
90,8
91,5
92,9
93,9
94,7
95,7
96,9
97,8
98,6
99,10
100,8
101,8
102,8
103,9
104,8
105,1
106,6
107,9
108,9
109,1
110,8
111,8
112,1
113,1
114,9
115,1
116,9
117,7
118,9
119,1
120,1
121,1
122,1
123,2
124,1
125,9
126,1
127,8
128,10
129,9
130,8
131,1
132,10
133,1
134,1
135,9
136,9
137,10
138,10
139,1
140,10
141,9
142,2
143,5
144,9
145,7
146,9
147,5
148,9
149,8
150,9
151,1
152,7
153,10
154,1
155,9
156,1
157,8
158,8
159,8
160,8
161,1
162,5
163,9
164,1
165,8
166,1
167,8
168,1
169,9
170,8
171,9
172,9
173,9
174,9
175,1
176,9
177,10
178,8
179,1
180,9
181,8
182,9
183,8
184,10
185,9
186,8
187,1
188,1
189,1
190,1
191,1
192,1
193,8
194,7
195,5
196,8
197,9
198,9
199,9
200,9
201,10
202,8
203,9
204,1
205,1
206,7
207,9
208,10
209,1
210,1
211,5
212,10
213,1
214,9
215,8
216,10
217,1
218,7
219,1
220,8
221,1
222,5
223,7
224,9
225,1
226,9
227,9
228,7
229,1
230,1
231,1
232,8
233,1
234,1
235,9
236,9
237,10
238,1
239,9
240,5
241,1
242,1
243,9
244,1
245,9
246,8
247,9
248,10
249,9
250,9
251,1
252,1
253,1
254,9
255,1
256,8
257,9
258,9
259,7
260,8
261,8
262,8
263,10
264,9
265,9
266,1
267,1
268,1
269,9
270,9
271,8
272,9
273,8
274,7
275,9
276,9
277,8
278,9
279,9
280,9
281,9
282,9
283,1
284,10
285,1
286,8
287,1
288,9
289,10
290,9
291,1
292,8
293,10
294,8
295,7
296,7
297,1
298,8
299,5
300,1
301,9
302,9
303,1
304,7
305,10
306,1
307,8
308,9
309,1
310,9
311,1
312,1
313,8
314,1
315,8
316,9
317,1
318,8
319,9
320,9
321,9
322,8
323,1
324,9
325,8
326,5
327,7
328,8
329,1
330,8
331,7
332,2
333,9
334,1
335,1
336,9
337,9
338,9
339,10
340,9
341,1
342,5
343,1
344,9
345,8
346,9
347,6
348,1
349,9
350,10
351,10
352,7
353,2
354,7
355,1
356,8
357,10
358,10
359,1
360,9
361,9
362,10
363,9
364,8
365,5
366,9
367,1
368,10
369,7
370,9
371,7
372,9
373,10
374,9
375,7
376,9
377,8
378,8
379,1
380,10
381,7
382,9
383,9
384,9
385,1
386,9
387,10
388,10
389,8
390,1
391,7
392,10
393,8
394,1
395,9
396,8
397,8
398,2
399,9
400,9
401,1
402,9
403,9
404,7
405,1
406,10
407,8
408,9
409,9
410,9
411,7
412,1
413,9
414,1
415,7
416,9
417,10
418,9
419,8
420,8
421,9
422,1
423,10
424,9
425,8
426,10
427,5
428,9
429,9
430,1
431,9
432,7
433,8
434,1
435,1
436,8
437,10
438,9
439,9
440,10
441,1
442,1
443,1
444,5
445,1
446,1
447,10
448,1
449,1
450,1
451,9
452,1
453,9
454,6
455,6
456,9
457,1
458,8
459,10
460,10
461,9
462,10
463,1
464,8
465,1
466,7
467,7
468,9
469,1
470,5
471,9
472,8
473,8
474,9
475,8
476,7
477,9
478,9
479,7
480,1
481,1
482,1
483,9
484,10
485,8
486,9
487,9
488,5
489,9
490,1
491,9
492,9
493,1
494,1
495,1
496,8
497,8
498,9
499,10
500,7
501,9
502,1
503,1
504,1
505,7
506,7
507,8
508,10
509,10
510,8
511,7
512,9
513,9
514,1
515,9
516,9
517,9
518,1
519,7
520,9
521,8
522,7
523,9
524,8
525,1
526,9
527,9
528,7
529,1
530,9
531,9
532,1
533,1
534,7
535,10
536,9
537,1
538,8
539,9
540,1
541,9
542,8
543,1
544,9
545,8
546,1
547,1
548,1
549,10
550,9
551,1
552,9
553,7
554,7
555,1
556,9
557,1
558,9
559,1
560,1
561,8
562,1
563,8
564,1
565,7
566,5
567,9
568,8
569,1
570,9
571,9
572,8
573,8
574,8
575,1
576,8
577,7
578,9
579,1
580,8
581,1
582,9
583,9
584,1
585,10
586,9
587,1
588,7
589,1
590,9
591,10
592,1
593,8
594,1
595,9
596,8
597,1
598,7
599,8
600,9
601,10
602,1
603,7
604,1
605,7
606,9
607,1
608,1
609,1
610,1
611,1
612,8
613,8
614,9
615,10
616,8
617,9
618,9
619,9
620,1
621,1
622,9
623,10
624,1
625,1
626,1
627,9
628,8
629,7
630,1
631,1
632,10
633,9
634,9
635,1
636,9
637,9
638,9
639,1
640,10
641,7
642,9
643,9
644,8
645,1
646,7
647,9
648,9
649,1
650,7
651,10
652,8
653,8
654,1
655,5
656,9
657,8
658,9
659,9
660,8
661,10
662,8
663,9
664,9
665,9
666,7
667,1
668,7
669,9
670,7
671,9
672,1
673,8
674,9
675,1
676,9
677,9
678,1
679,1
680,1
681,9
682,1
683,8
684,8
685,9
686,10
687,1
688,10
689,1
690,1
691,9
692,1
693,1
694,1
695,8
696,1
697,8
698,9
699,9
700,9
701,9
702,10
703,9
704,8
705,10
706,8
707,8
708,1
709,9
710,9
711,1
712,10
713,9
714,7
715,1
716,1
717,7
718,8
719,9
720,10
721,7
722,8
723,10
724,9
725,9
726,8
727,1
728,1
729,9
730,1
731,9
732,9
733,1
734,8
735,1
736,9
737,8
738,9
739,7
740,8
741,1
742,8
743,1
744,7
745,9
746,1
747,1
748,6
749,1
750,1
751,9
752,8
753,5
754,9
755,9
756,8
757,10
758,9
759,8
760,2
761,1
762,1
763,8
764,8
765,9
766,9
767,9
768,1
769,10
770,8
771,1
772,8
773,8
774,8
775,9
776,8
777,5
778,8
779,7
780,1
781,8
782,1
783,9
784,8
785,9
786,9
787,7
788,8
789,10
790,9
791,8
792,1
793,9
794,9
795,9
796,9
797,1
798,1
799,1
800,9
801,1
802,1
803,8
804,1
805,1
806,10
807,8
808,10
809,1
810,9
811,9
812,1
813,1
814,8
815,1
816,1
817,9
818,9
819,8
820,10
821,8
822,9
823,10
824,9
825,1
826,1
827,1
828,9
829,8
830,1
831,9
832,1
833,1
834,1
835,1
836,1
837,1
838,8
839,1
840,1
841,1
842,9
843,9
844,9
845,8
846,1
847,10
848,8
849,9
850,8
851,9
852,9
853,1
854,10
855,10
856,10
857,10
858,8
859,5
860,1
861,9
862,7
863,9
864,9
865,9
866,9
867,7
868,9
869,9
870,1
871,10
872,5
873,9
874,9
875,1
876,8
877,1
878,1
879,10
880,1
881,9
882,9
883,7
884,1
885,8
886,7
887,7
888,5
889,9
890,7
891,9
892,9
893,9
894,7
895,5
896,9
897,9
898,1
899,9
900,5
901,10
902,8
903,9
904,9
905,1
906,8
907,5
908,9
909,9
910,10
911,8
912,9
913,1
914,7
915,1
916,9
917,9
918,9
919,8
920,9
921,1
922,8
923,9
924,9
925,5
926,9
927,1
928,8
929,9
930,9
931,1
932,9
933,9
934,9
935,9
936,8
937,9
938,9
939,9
940,9
941,1
942,1
943,10
944,8
945,10
946,7
947,8
948,8
949,9
950,7
951,10
952,9
953,9
954,9
955,9
956,7
957,1
958,10
959,9
960,1
961,8
962,8
963,9
964,8
965,7
966,9
967,5
968,1
969,1
970,9
971,1
972,8
973,9
974,1
975,5
976,7
977,9
978,9
979,1
980,1
981,7
982,9
983,1
984,7
985,9
986,8
987,1
988,8
989,8
990,1
991,7
992,8
993,7
994,9
995,8
996,1
997,5
998,9
999,9
1000,9
1001,5
1002,10
1003,7
1004,1
1005,9
1006,7
1007,9
1008,9
1009,1
1010,9
1011,1
1012,9
1013,8
1014,7
1015,10
1016,9
1017,1
1018,1
1019,9
1020,10
1021,9
1022,8
1023,8
1024,9
1025,1
1026,10
1027,8
1028,1
1029,9
1030,8
1031,1
1032,7
1033,9
1034,9
1035,10
1036,8
1037,1
1038,9
1039,8
1040,9
1041,8
1042,9
1043,1
1044,8
1045,9
1046,9
1047,5
1048,8
1049,9
1050,1
1051,9
1052,9
1053,8
1054,8
1055,9
1056,9
1057,8
1058,1
1059,9
1060,10
1061,10
1062,5
1063,8
1064,9
1065,1
1066,8
1067,10
1068,9
1069,9
1070,8
1071,8
1072,1
1073,9
1074,10
1075,1
1076,8
1077,9
1078,1
1079,8
1080,9
1081,5
1082,8
1083,8
1084,9
1085,1
1086,10
1087,8
1088,9
1089,9
1090,9
1091,10
1092,9
1093,8
1094,8
1095,8
1096,10
1097,1
1098,9
1099,9
1100,1
1101,9
1102,1
1103,1
1104,7
1105,9
1106,9
1107,10
1108,8
1109,9
1110,9
1111,9
1112,1
1113,9
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,9
1122,9
1123,1
1124,1
1125,9
1126,1
1127,1
1128,8
1129,1
1130,8
1131,9
1132,1
1133,8
1134,1
1135,8
1136,9
1137,9
1138,9
1139,8
1140,8
1141,1
1142,8
1143,9
1144,9
1145,8
1146,9
1147,10
1148,1
1149,10
1150,1
1151,1
1152,8
1153,8
1154,9
1155,9
1156,1
1157,5
1158,9
1159,9
1160,9
1161,8
1162,9
1163,9
1164,9
1165,9
1166,9
1167,8
1168,9
1169,5
1170,1
1171,1
1172,7
1173,8
1174,8
1175,8
1176,10
1177,9
1178,1
1179,8
1180,1
1181,7
1182,1
1183,8
1184,9
1185,1
1186,1
1187,8
1188,9
1189,9
1190,1
1191,8
1192,8
1193,8
1194,10
1195,1
1196,9
1197,9
1198,1
1199,9
1200,1
1201,8
1202,9
1203,9
1204,8
1205,8
1206,8
1207,9
1208,9
1209,9
1210,9
1211,8
1212,1
1213,10
1214,1
1215,8
1216,8
1217,10
1218,7
1219,9
1220,10
1221,8
1222,9
1223,1
1224,8
1225,8
1226,9
1227,6
1228,1
1229,9
1230,9
1231,9
1232,10
1233,10
1234,8
1235,8
1236,1
1237,1
1238,8
1239,9
1240,1
1241,9
1242,8
1243,9
1244,9
1245,8
1246,1
1247,1
1248,9
1249,5
1250,8
1251,1
1252,10
1253,9
1254,1
1255,8
1256,1
1257,10
1258,9
1259,1
1260,1
