Id,Category
0,3
1,10
2,0
3,9
4,5
5,0
6,9
7,10
8,3
9,2
10,3
11,0
12,8
13,10
14,5
15,4
16,9
17,4
18,5
19,3
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,4
28,6
29,2
30,5
31,9
32,6
33,2
34,2
35,2
36,5
37,10
38,10
39,8
40,7
41,1
42,0
43,5
44,5
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,3
53,3
54,4
55,8
56,7
57,1
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,8
66,1
67,9
68,4
69,10
70,5
71,5
72,5
73,5
74,5
75,6
76,4
77,1
78,1
79,9
80,0
81,3
82,9
83,8
84,7
85,0
86,4
87,4
88,10
89,6
90,5
91,4
92,3
93,5
94,6
95,6
96,1
97,3
98,6
99,10
100,3
101,1
102,8
103,5
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,2
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,0
121,5
122,0
123,5
124,3
125,5
126,5
127,8
128,10
129,9
130,5
131,0
132,8
133,3
134,1
135,2
136,3
137,10
138,3
139,1
140,8
141,4
142,5
143,5
144,1
145,0
146,9
147,4
148,8
149,5
150,5
151,1
152,4
153,0
154,10
155,1
156,1
157,9
158,8
159,2
160,5
161,8
162,5
163,5
164,8
165,8
166,5
167,8
168,3
169,9
170,8
171,2
172,9
173,4
174,9
175,2
176,1
177,10
178,8
179,5
180,3
181,8
182,9
183,6
184,10
185,9
186,10
187,3
188,2
189,4
190,1
191,3
192,3
193,3
194,7
195,5
196,8
197,9
198,2
199,1
200,9
201,2
202,8
203,7
204,4
205,0
206,7
207,4
208,10
209,4
210,3
211,5
212,10
213,2
214,1
215,0
216,10
217,0
218,9
219,5
220,0
221,2
222,2
223,7
224,5
225,5
226,3
227,9
228,6
229,3
230,0
231,2
232,6
233,1
234,3
235,1
236,4
237,10
238,0
239,6
240,5
241,3
242,0
243,4
244,2
245,8
246,0
247,9
248,10
249,5
250,9
251,3
252,5
253,5
254,5
255,0
256,4
257,9
258,3
259,0
260,8
261,8
262,8
263,0
264,4
265,9
266,1
267,3
268,0
269,9
270,9
271,3
272,8
273,0
274,6
275,9
276,9
277,0
278,9
279,9
280,9
281,9
282,2
283,0
284,10
285,7
286,2
287,4
288,3
289,10
290,9
291,0
292,9
293,8
294,8
295,6
296,7
297,4
298,8
299,5
300,8
301,9
302,3
303,1
304,0
305,10
306,5
307,3
308,9
309,3
310,1
311,0
312,0
313,8
314,8
315,0
316,7
317,0
318,7
319,9
320,3
321,2
322,5
323,0
324,4
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,10
333,9
334,0
335,2
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,3
345,5
346,4
347,6
348,4
349,9
350,8
351,2
352,6
353,2
354,6
355,2
356,1
357,10
358,8
359,4
360,3
361,5
362,10
363,5
364,1
365,5
366,4
367,3
368,10
369,7
370,9
371,4
372,5
373,4
374,3
375,3
376,9
377,9
378,8
379,5
380,10
381,6
382,4
383,9
384,4
385,3
386,4
387,10
388,10
389,0
390,0
391,0
392,10
393,8
394,7
395,2
396,8
397,8
398,8
399,9
400,9
401,4
402,1
403,9
404,7
405,3
406,0
407,8
408,5
409,4
410,5
411,7
412,0
413,7
414,3
415,7
416,8
417,4
418,2
419,8
420,5
421,9
422,5
423,10
424,3
425,8
426,3
427,9
428,9
429,9
430,4
431,0
432,4
433,8
434,3
435,2
436,8
437,10
438,1
439,2
440,10
441,4
442,1
443,1
444,2
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,2
453,2
454,6
455,6
456,4
457,4
458,8
459,10
460,10
461,9
462,10
463,4
464,1
465,9
466,7
467,7
468,9
469,1
470,5
471,4
472,8
473,8
474,9
475,0
476,6
477,2
478,1
479,7
480,0
481,4
482,3
483,1
484,10
485,0
486,1
487,9
488,5
489,9
490,3
491,9
492,7
493,1
494,5
495,8
496,8
497,10
498,3
499,10
500,7
501,1
502,5
503,9
504,4
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,0
515,2
516,9
517,9
518,5
519,3
520,5
521,8
522,7
523,9
524,1
525,2
526,9
527,9
528,6
529,0
530,4
531,1
532,4
533,3
534,7
535,10
536,2
537,4
538,8
539,8
540,2
541,1
542,3
543,0
544,9
545,8
546,0
547,5
548,3
549,8
550,9
551,5
552,9
553,6
554,4
555,3
556,1
557,5
558,6
559,5
560,7
561,8
562,5
563,8
564,0
565,4
566,5
567,1
568,8
569,3
570,5
571,5
572,0
573,5
574,8
575,4
576,8
577,0
578,1
579,3
580,8
581,4
582,5
583,9
584,3
585,9
586,2
587,2
588,7
589,5
590,9
591,3
592,4
593,5
594,7
595,9
596,0
597,3
598,4
599,4
600,5
601,10
602,0
603,6
604,3
605,9
606,9
607,4
608,5
609,3
610,5
611,9
612,8
613,0
614,9
615,10
616,8
617,9
618,4
619,9
620,7
621,3
622,4
623,10
624,4
625,3
626,3
627,5
628,3
629,6
630,3
631,3
632,2
633,2
634,2
635,3
636,9
637,1
638,10
639,3
640,10
641,0
642,9
643,1
644,6
645,0
646,7
647,2
648,5
649,3
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,8
658,9
659,9
660,2
661,6
662,0
663,9
664,9
665,1
666,7
667,5
668,9
669,4
670,0
671,9
672,1
673,7
674,5
675,5
676,3
677,1
678,5
679,1
680,2
681,8
682,5
683,5
684,3
685,0
686,0
687,4
688,10
689,6
690,2
691,9
692,8
693,5
694,4
695,8
696,6
697,8
698,0
699,7
700,1
701,0
702,10
703,0
704,3
705,10
706,8
707,0
708,8
709,9
710,5
711,8
712,6
713,9
714,6
715,0
716,0
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,1
729,3
730,10
731,7
732,8
733,5
734,4
735,1
736,3
737,8
738,1
739,7
740,3
741,7
742,8
743,3
744,6
745,0
746,2
747,2
748,6
749,8
750,5
751,2
752,0
753,5
754,2
755,2
756,8
757,8
758,9
759,8
760,2
761,4
762,0
763,2
764,1
765,1
766,8
767,9
768,5
769,10
770,2
771,4
772,2
773,5
774,3
775,8
776,8
777,5
778,8
779,4
780,9
