Id,Category
uttr-b73206c2bc3d42bf9c77ad4565d4ff15.pt,id11230
uttr-8243426b1e3a4813aecda0df340d6a69.pt,id10174
uttr-c704f91ff7124a2b9b2865a9afce8417.pt,id11121
uttr-758b70e1442c47b3ba2583bf514b30f6.pt,id10503
uttr-0624b7f6f31e4620ae779d2184dd6003.pt,id10944
uttr-d2c433bfcc7d48928ab73ec5a1b4edcf.pt,id11084
uttr-8a6bcf5ca5dd4193962462be558e0491.pt,id10421
uttr-b9823d5474f640be97c6b644f7309c78.pt,id11132
uttr-946f3619045d40dda24cc8d117c7cf43.pt,id10458
uttr-234dab54f36b476dbf95f5e3c980dc95.pt,id10819
uttr-af7ca83ed2804ced9f253d6579c35f77.pt,id10472
uttr-5c9ab3051c304d3e94004a5c0770d5fc.pt,id11192
uttr-6b700ffad4fb40fcab22fc585ca6c310.pt,id11008
uttr-49dc38bc54374c4cac04436e7fb672ac.pt,id10945
uttr-c42dbbc5287e442891fd6cee41fc88bf.pt,id11178
uttr-597ffa1513b94d98b61abec7bbfa787e.pt,id10925
uttr-72ac8a478d044f5e82b4f4f56e3cc653.pt,id10135
uttr-7720ce7a6da94e9f911407e7253f7d29.pt,id11107
uttr-4d38fd3b164e4352b85111968afd5094.pt,id10972
uttr-bd7ae28729cc40c39720e86ad259bede.pt,id10052
uttr-b2b7808b969a431ea16dc0c06e9f7b8c.pt,id10009
uttr-a4cfce8987114abd8a3c939187fc4f8a.pt,id11105
uttr-36b3328303a94bbe9679292b603df1c9.pt,id10892
uttr-db8f1e6b79c74063bede19c75226aa23.pt,id10115
uttr-1403eef611334c8ca350de640071170d.pt,id10699
uttr-e55e81394cac4555955273b292b7f8e7.pt,id10938
uttr-184673834bf0400eb6eca2cf0a317d8e.pt,id10472
uttr-29e856d39e474feabc4f5e4f6684474b.pt,id10356
uttr-e448e2454fe14a0e90ee6ec39a05c635.pt,id10045
uttr-ded9ebf077814a00a8374b3be3ef8ca8.pt,id10806
uttr-86fca5212cac431cafcadc5beb9163a3.pt,id11007
uttr-6f502e45df504dd9b03427f9f2b9f488.pt,id10706
uttr-0a7dd079f18e49979ab84de5bee0ae9c.pt,id10126
uttr-67128f481eef4a5fbfb0f4aba6cca592.pt,id10847
uttr-f8e7b85404d9474f8ddbff6cb3dfbaff.pt,id10430
uttr-a12b12d2ab4f47cfb32072b9bb3f0aee.pt,id11159
uttr-d9c7e604d1ce4d779cff048565601b0e.pt,id10099
uttr-2cc31dc0e47c4e9e98bbfc22be79bfeb.pt,id10391
uttr-e80a7841df494afeb4c38017d0594a9b.pt,id10236
uttr-11033797fd2044989d6f3836e3269cd8.pt,id10472
uttr-29590a8b141a4c69a2b1a7b2ac3f486d.pt,id11083
uttr-6c695560083943e3a287a8c98d7973b4.pt,id11040
uttr-bf707430a3094b9ca880696754537971.pt,id11179
uttr-11ff64dc3ac74405a4810b4577a50bbe.pt,id10847
uttr-776c114396514180b5f5cdc1985be997.pt,id10010
uttr-7e0dc0d916ad44309f1bea952bd56b42.pt,id10554
uttr-59f6519e0dda40d298c7548f7a7fd72b.pt,id10891
uttr-b85f085159534997b6768c85775ef5bc.pt,id10892
uttr-b6b7284a2b8a4542a9340eb807797c57.pt,id11247
uttr-3e491be4289a4aa188badf9a327269b4.pt,id10233
uttr-bdda3d7319654896a24ea2f2f8aaa8f9.pt,id10623
uttr-30dcffd91351412692e113d93d44d017.pt,id10996
uttr-ea50d10c89bf4125a3175fd3c0ff54f3.pt,id11194
uttr-c964ac53e09648ecad8b99daaac80c80.pt,id10383
uttr-f1be8d01e76549439bfbb381ce91b58c.pt,id10342
uttr-4ac57fb01e374dd5b4087ba9eaa64e43.pt,id10863
uttr-d3fd3cc8ae59493d9fbabbde3c8494cf.pt,id10973
uttr-0f25568a9311435dbb5b591e651bd0e6.pt,id11071
uttr-87bbd4dc2da34cfaa9258abfddff8d48.pt,id11014
uttr-840cdc3b31d0481792c6b0eec0b604da.pt,id11001
uttr-9fe23bf28aec4da086bfc3fdc46750e5.pt,id10100
uttr-827ae1b3afac4260bfab6be13de08596.pt,id11039
uttr-7ffdaf919de047ecab03e4b522af26c6.pt,id10914
uttr-d89e1b1dace44f3993ddaacfe690ab2f.pt,id10249
uttr-4bf46cf35b41428bb106bbd93b53a5da.pt,id10425
uttr-22314ec24fa3442eb8d7f6452b55fe7f.pt,id10433
uttr-10e10995138b4d8e8819cea034a21157.pt,id10111
uttr-2cdb5a8071124d79b6141d60a9b4f965.pt,id11211
uttr-a8cc3a41f0fa4acdad3d3eff4089f422.pt,id10998
uttr-53d63dfb0c424ce7bd82d79bb7974351.pt,id10375
uttr-3e7080fc0f2b48098365f8c154207468.pt,id10149
uttr-2abda89c4c84483f8f6428bd855e7706.pt,id11014
uttr-1bd1445156cf4b1a9c6c1d7fe36ad9fd.pt,id10532
uttr-28518bd04d5d4d43b879fa73e4ebd5bc.pt,id10626
uttr-1102bd4357274b7491c85c9ff2944456.pt,id10451
uttr-249ebbd25c8444a2850bc7f8f7bf746f.pt,id10080
uttr-3c8700540c5c44ae9940c729b232f980.pt,id10675
uttr-d35f89f1af804db0b351af2e781008a4.pt,id10941
uttr-1aa4b07db5d247f797c744c358128a46.pt,id10210
uttr-f3d70ce53cb642ec904df71671f8a56e.pt,id10190
uttr-44f44e67e2fe40578d2947ef82cb6575.pt,id10090
uttr-7e297af9ecf74df787621de13f4ee465.pt,id10207
uttr-fc0af82ddbeb41c48b46fe73d4d63032.pt,id10856
uttr-96f5d7d2fa5441ec8a6a93370deb1789.pt,id10970
uttr-c981d4a4b87e4c7ea2e72996e220e49c.pt,id10348
uttr-c2ba4c33801e41109a11718d816ed581.pt,id10532
uttr-940d0c3854274c3b8d211160d568ba1b.pt,id11213
uttr-22b0297d2d61420e8efc7aa19e155df2.pt,id10330
uttr-75d4ace1357b44459fd6770711fcd1c9.pt,id11039
uttr-290b36ae433c4dc4994e7eb5010a1e30.pt,id11011
uttr-76964dce693149b9a1abe9bf6a8b027c.pt,id11135
uttr-b375f37e382c4b6da749882e2e6f1970.pt,id11123
uttr-8a66f33e98cc4377a09542bd42ddf15e.pt,id10430
uttr-24045dab6af8434eaade089b48e43ea0.pt,id10061
uttr-a713854c3a6c4347b6a39bbc9b09ff9c.pt,id10242
uttr-98ce4dfc2f934481add5d8a3d09ffa4e.pt,id10569
uttr-d2582ea92b184baf84aeeb1de7560212.pt,id10236
uttr-73db27f6d9934881b8b0d259f3cc7789.pt,id10062
uttr-687517c8aa654f3dac615ee7efd28d84.pt,id10726
uttr-6b9c2271588f410582ca16527a2b7376.pt,id10259
uttr-3264d76085d84ad4841a342c5b5c06b4.pt,id10697
uttr-37bbf2728b7944798dc37e2383d6c18f.pt,id10650
uttr-c71f03e20a504636aa082c0a8ba46a5c.pt,id11200
uttr-4a5aab38bfcf471091b070beaad72552.pt,id11173
uttr-bd17fed37e824b3cad37c840b155c501.pt,id10670
uttr-261aa30045ca4c519abddf9e4dcdb974.pt,id10381
uttr-8cc37cda4aac4a1b819ca2bf6eee12b6.pt,id10648
uttr-34dfc9e76d8b40079674818f3572d376.pt,id10571
uttr-4fc6662862c2461c9fc398cb471c90ed.pt,id10014
uttr-783786c8c9d74e088be08d79347ca6e6.pt,id11047
uttr-1c138e3f69db4da78696f8e0b764cca0.pt,id11140
uttr-c8ce75f1b95749e28c5b3d63aeb557be.pt,id10553
uttr-78e85053bfe746bbb49809f38465ebbd.pt,id10054
uttr-fc89c3e886584ce99926544dfa37d219.pt,id10824
uttr-c8f616c9d2e346afa9326ff1e45e1b3a.pt,id10622
uttr-48429c6b3ac3445caefe0eac70c1b9d7.pt,id10859
uttr-ef8843f6c27e47f98bf7e61902cfb3f3.pt,id10157
uttr-ccf59a445eb946a78135741046f01aff.pt,id11021
uttr-46c12a812b8041febc714a7423a6a5a1.pt,id10408
uttr-c025546ff73e414aaa181ebfa85c88dc.pt,id10322
uttr-fed86e30ac7b49fcb4d9a14e543a74b7.pt,id10648
uttr-8f31b2c367c7426b9e4bab67d28d1d38.pt,id10922
uttr-e27b12f79bfe443fb3b5187466693de9.pt,id10481
uttr-c117c1eef26247d493a54c0b15259796.pt,id10203
uttr-e23c421455fd4cec86bfce2c7daec5e0.pt,id11188
uttr-3adae8d4c2184598b565d82bea32723c.pt,id10659
uttr-b9a2fb6738d94bb48a7708630aeef092.pt,id10698
uttr-ac3cdc9d3be543a6a97d2d2a5d1b9b62.pt,id11146
uttr-ad4c951df98b417da0162472ee16aae7.pt,id10970
uttr-24b6f91a3a3c4f0b8ed97b2ab07745aa.pt,id10135
uttr-28dbbc59c9f14a7f882b7e8173a9df14.pt,id11018
uttr-8ec73173759546e1bdc63bcdc5db3c43.pt,id10545
uttr-b83d00272d124ddfa6c04772894f68f4.pt,id10066
uttr-d906b8eed99e43cdaf6dcfd3b8be4df9.pt,id10559
uttr-2a77b099c74b4a4eb6d3c383675ade29.pt,id10474
uttr-1b0122a2daae4b51b08fac77f1052db7.pt,id10687
uttr-0c9436d25cea4e408d154d60a39ae869.pt,id10190
uttr-d44bb2f6bb26498abbeb6d4f36ef7897.pt,id11245
uttr-3f9757437db84affbd005e6992c48614.pt,id10162
uttr-b47fa009d1784b6fb7fc19c7f437589d.pt,id10459
uttr-b6afa89d1e2a4599ad907fa6e013d0b8.pt,id10753
uttr-49987cca3e43442b965ac1ff0adae91b.pt,id10704
uttr-7bee0d42f08f428da2e1cb2a3bf595fd.pt,id10937
uttr-8ee629f9b14c47b485982b0179d3aacb.pt,id10657
uttr-9a9637b95073440eb54478fe06ae5804.pt,id10913
uttr-79a528b091ea49dda4ad3a254217eca4.pt,id11037
uttr-f458c7f021a743c79d5602cf5bd14e0c.pt,id10552
uttr-97fb4b6b1a79433ba2b5c793e3ab1163.pt,id10741
uttr-fddafaab330b4dfda73836136ddd2008.pt,id11075
uttr-77e16337306e4bcb9a359b12c3ff2b60.pt,id10079
uttr-ce1f52503d6f4fe89e76d7faa0d6467d.pt,id11037
uttr-49548854a02643dab31402aa54a70156.pt,id10957
uttr-4f08607ea9a049298cde00143b697d91.pt,id10381
